바비킴 속 하+ㄴ그룹 부가 킹즈, 2집 발 .	PER-B O O ORG-B O O O O
구단 관계자는 "여전히 플레이는 과감하고 위협적이다"면서도 "하지만 골이 지독하게 안 터지면서 이동국본인도 많이 안타깝어하고 있다"고 전하였다 .	O O O O O O O O O O O PER-B O O O O O
계약기간은 오는 2007년 12월까지 2년 6개월간으로 연봉 등 세부 계약 조건은 협의에 따르 아공개하지 않는다 .	O O O O O O O O O O O O O O O O
지나+ㄴ 84년 울산에 입단 하+ㄴ 최 감독은 92년까지 미드필더와 풀백으로 활약하며 207 경기에 출전하+여 10골22 도움을 올리었고, 88년 서울 올림픽과 90년 이탈리아 월드컵에 국가대표로 참가하는 등 화려 하+ㄴ 선수 시절을 보내+었다 .	O O ORG-B O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O
에인트 호벤은 2005-2006 네덜란드 프로축구 정규리그 개막에 앞서 +어다음달 6일(이하 한국시간) 네덜란드 암스테르담에서 열리는 요한 크루이프 컵에서 아약스와 맞붙는다고 3일 구단 웹사이트를 통하+여 밝히었다 .	O O O LOC-B O O O O O O LOC-B LOC-B LOC-B O O O O ORG-B O O O O O O O
일본 프로축구(J리그)가시와 레이솔에서 K리그로 유턴 하+ㄴ '리틀 마라도나' 최성국(22)이 지나 +ㄴ 2일 '친정팀' 울산 현대에 합류하였다 .	LOC-B ORG-B O ORG-B O O PER-B O PER-B O O O O ORG-B O O O
구단 관계자에 따르면 최성국은 피스컵 대회 이후 울산 합류를 앞두 +ㄴ팀 선배 이천수(24)와 함께 3일 저녁 문수월드컵경기장에서 열리+ㄹ울산-대구FC전을 관전하기로 +였다 .	O O O PER-B O O O ORG-B O O O O PER-B O O O LOC-B ORG-B O O O
'슈퍼 이글스' 나이지리아도 최근 맨체스터 유나이티드 에스카우트 되+ㄴ 공격형 미드필더 존 오비 미켈의 지휘로 대등하+ㄴ경기를 펼치+어나가았지만 대회 최고의 별로 떠오르+ㄴ '천재' 메시를 막지 못하+ㄴ 것이 뼈아프았다 .	ORG-B O ORG-B O ORG-B O O O O O PER-B O O O O O O O O O O PER-B O O O O O
반면 일방적으로 밀리던 아르헨티나는 단 한 번의 역습 기회를 살리+어우승컵의 향방을 결정짓었다 .	O O O ORG-B O O O O O O O O O
브라질은 후반 2분 수비수에드카를로스의 자책골로 0-1로 뒤지었지만 후반 43분 파비우산토스의 동점 헤딩골에잇어인 저리타임 1분에드카를로스의 역전 결승골이 터지+어나오아 역전 드라마를 마무리하였다 .	ORG-B O O PER-B O O O O O PER-B O O O PER-B O O O O O O O
부산 아이파크가 10경기무패 행진을 달성하면서 전기리그 우승의 '8부 능선'을 가볍게 넘었다 .	ORG-B O O O O O O O O O O O
부산은 연승행진에 대하+ㄴ부담 때문이 +ㄴ지 전반전 동안 전남과 몇 차례 슛만 주고받은 채 득점 없이 45분을 보내+었다 .	ORG-B O O O O O O ORG-B O O O O O O O O O O
한편 성남일화는 분당에서 펼쳐 지+ㄴ FC서울과의 홈경기에서 올 시즌 전남에서 이적하+ㄴ '노장' 남기일의 해트트릭을 앞세우어 4-1대승을 거두었다 .	O ORG-B O O O ORG-B O O O ORG-B O O PER-B O O O O O
스페인 프로축구 프리메라리가의 '명문' 레알 마드리드의 룩셈부르 구 감독이 자신을 브라질의 '신성' 호비뉴(21.산 토스)의 유럽 적응을 위하 +ㄴ적임자+이라고 강조하고 나서 +었다 .	LOC-B O ORG-B O ORG-B O PER-B O O O LOC-B O PER-B O LOC-B O O O O O O O
더욱이 호비뉴가 지나 +ㄴ 주말 팀 훈련에 모습을 나타내지 않으면서 호비뉴의 이적 문제는 복잡 하+ㄴ국면으로 접어들었다 .	O PER-B O O O O O O O O PER-B O O O O O O
크레스포는 "조제 무리뉴 감독과 문제가 있는 것은 아니다. 그가 나의 진로 문제에 대하+ㄴ 입장을 바꾸+ㄹ 수 있다는 말을 듣었다"고 덧붙이었다 .	PER-B PER-B O O O O O O O O O O O O O O O O O O O
성남은 3일 열리+ㄴ삼성 하우젠K리그 2005홈경기에서 남기일의 해트트릭을 앞세우어 FC서울을 4-1로 대파하며 신나는 3연승을 내달리었다 .	ORG-B O O O O PER-B O O ORG-B O O O O O O
덕분에 정규리그 개막 이후 6경기 동안 4득점에 그치던 성남은 지난달 22일 수원 삼성전(2-2 무승부)에서부터 매경기 2골 이상을 집어넣으면서 최근 4경기에서 11골을 폭발하는 무섭ㄴ화력을 자랑하고 있다 .	O O O O O O O O ORG-B O O O O O O O O O O O O O O O O O
지나+ㄴ 9회 차 우수주심에도 뽑히었던 이영철 심판은 지나 +ㄴ 한 달간 K리그 5경기에 배정되+어 공격적 이+ㄴ경기 운영과 경기규칙 적용, 통일성 있는 판정과 탁월하+ㄴ경기 조율 능력 등을 선보이어 6월 최우수주심으로 선정되었다 .	O O O O O PER-B O O O O O ORG-B O O O O O O O O O O O O O O O O O O O
IFFHS가 4일(한국시간) 발표 하+ㄴ '올해의 골게터' 중간 순위에 따르면 호비뉴는 국가대표 A매치에서 4골, 대륙별 클럽대항전에서 6골을 각각 넣어 북한의 김광혁(A매치 10골)에잇어 2위에 오르았다 .	ORG-B LOC-B O O O O O O O PER-B O O O O O O O O LOC-B PER-B O O O O
K리그 구단으로는 수원 삼성이 111위로 가장 높은 순위에 오르았고, 알아이+ㄴ(UAE)이 아시아 클럽 가운데 최고 순위 이+ㄴ 101위를 차지하였다 .	ORG-B O ORG-B O O O O O O ORG-B LOC-B O O O O O O O O
익숙하지 않은데 10시간이나 찍었다 .	O O O O O
박지성(24.맨체스터 유나이티드)이 빠르면 이번 주말쯤 영국 맨체스터로 출국 하+ㄹ 것으로 보이+ㄴ다 .	LOC-B O O O O LOC-B LOC-B O O O O O
이 대표는 "오늘부터 퍼거슨 감독이 홈구장(올드트래포드)에서 프리시즌 트레이닝을 시작하였다"고 전하였다 .	PER-B O O PER-B PER-B LOC-B O PER-B O O O
박지성, 캐러멜 먹다벌레나오 .	PER-B O O O
이 업체는 박지성 측에 사과와 해명을 하겠다고 밝히었다 .	O O PER-B O O O O O O
지난달 4일 나비스코컵오미야전을 끝으로 일본을 떠나 +ㄴ에 메르손은 같은 달 22일 시작되+ㄴ팀의 후쿠시마 합숙 훈련에 참가하로 +었었으나 그동안 가족 문제, 비행기만 석 등의 다양하+ㄴ이유를 들며 합류를 늦추+어+오았다 .	O O O O LOC-B O O O O O O O ORG-B O O O O O O O O O O O O O O O
이날 회의에서는 프로축구2부연맹 출범에 따르+ㄴ K2리그의 준비, 2006년 K2 리그 우승팀의 2007년 K리그 승격, K2리그용 병제도 운영방안 등에 대하+여의견을 나누+ㄹ 예정이다 .	O O ORG-B O O ORG-B O O ORG-B O O O ORG-B O ORG-B O O O O O O O
대회 조직위원회는 5일 중계방송사로 지상파 KBS와 MBC, 케이블, 위성스포츠 전문채널 KBSSKY 스포츠, SBS 스포츠 채널이 확정되었고 지역민방 PSB(부산방송)가 가세하였다고 밝히었다 .	O O O O O ORG-B ORG-B O O O ORG-B O O O O O O ORG-B O O O
온세칼다스-올림피크 리옹(19시.부산 아시아드 주경기장.SBS 스포츠.PSB .	O O O O O O
레알 소시에 다드-보카 주니어스(19시.부산 아시아드 주경기장. KBS .	O O O O O O O O
황선홍(37) 전남 드래곤즈 코치가쓰나미 피해자 돕기 자선 축구 경기에 한국 대표로 참가 하+ㄴ다 .	PER-B ORG-B O O O O O O O ORG-B O O O O
대한축구협회가 2006 독일 월드컵 본선 진출에 성공하+ㄴ축구대표팀 선수들의 포상금 지급을 놓고 고민에 빠지었다 .	ORG-B O O O O O O O O O O O O O
일부 선수는 코엘류 전 감독 시절에 '새 얼굴 찾기' 차원에서 소집되었다가 경기에 나서지 못하+ㄴ 경우도 있고, 또 다른 선수는 소집되+ㄴ 뒤 부상으로 하루 만에 소속팀으로 돌아가 +ㄴ 적도 있다 .	O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O
일본 프로축구(J리그)에서 K리그로 유턴 하+ㄴ 최성국(22.울산 현대)이 6일 복귀 무대에서 +ㄴ다 .	LOC-B ORG-B ORG-B O O ORG-B O O O O O O
울산구단은 최성국의 K리그 조기 투입을 위하+여가시와 로부터 이적동의서가 발급되자마자 지나 +ㄴ 4일 프로연맹에 선수 등록을 마치었다 .	LOC-B PER-B ORG-B O O ORG-B O O O O O O O O O O O
시는 이들 시설을 확충하고 고양종합운동장과 덕양 어울림 누리, 오는 8∼10월 완공되는 실내체육관과 수영장 등의 시설을 활용하+ㄹ 경우 도민체전을 단독 개최 하+ㄹ 수 있을 것으로 보고 있다 .	O O O O LOC-B LOC-B O O O O O O O O O O O O O O O O O O O O O
박지성의 에이전트 이+ㄴ FS코퍼레이션은 5일 "영국이민국에서 취업허가서(워크 퍼밋)가 도착 하+ㅁ에 따르 아박지성이 6일 낮 12시50분 네덜란드 암스테르담 행 KLM편으로 출국 하+ㄴ다"고 밝히었다 .	PER-B O O ORG-B O ORG-B O O O O O PER-B O O O LOC-B LOC-B O O O O O O
박지성은 입단식 없이 오는 23일부터 시작되는 아시아투어(홍콩. 중국.일본)에 대하+ㄴ 인터뷰만 가지 +ㄴ 뒤 곧바로 홈구장(올드트래포드)으로 이동 하+여훈련에 들어가 +ㄹ 예정이다 .	PER-B O O O O O LOC-B LOC-B O O O O O O LOC-B O O O O O O
프리미어리그 데뷔전은 8월 13일 에 버튼과의 원정 개막전이고 이에 앞서 +어2005-2006 유럽 축구연맹(UEFA) 챔피언스리그 3차 예선 1차전(8월 8-9일)에 출전하+ㄹ 수도 있을 것으로 보이+ㄴ다 .	O O O O O O O O O O O O ORG-B O O O O O O O O O O O
클리닉은 오전 9시30분부터 오후 6시30분까지 기본자세, 볼 캐칭, 크로싱캐칭, 펀칭, 1대1 상황 대처 요령 등을 교육하고 저녁에는 수원 삼성이 운재 선수의 특강과 경기규칙 설명으로 이어 지+ㄴ다 .	O O O O O O O O O O O O O O O O O ORG-B O O O O O O O O O
스포츠산업진흥법(안)이 9월 정기국회에서 통과되면 K2 리그의 수원시청 등 지자체 구단들과 공기업 구단들도 프로팀을 만들 +ㄹ 수 있게 되+ㄴ다 .	O O O O ORG-B O ORG-B O O O O O O O O O O O O
유상철 2년 만의 K리그 골  .	PER-B O O O O O O
지나+ㄴ 1999년 울산에서 요코하마 F.마리노스에 입단 하+ㄴ 뒤 2001년 가시와 레이솔을 거치+어 2002년 울산으로 복귀하였던 유상철은 바로 이듬해 7월 요코하마에 재입단 한 뒤 올해 다시 울산유니폼을 입었다 .	O O ORG-B ORG-B O O O O O ORG-B O O O ORG-B O PER-B O O O ORG-B O O O O O ORG-B O O
경기 전 "공격형 미드필더뿐만 아니라 최전방으로도 치고 들어가며 자유롭게 플레이하라고 주문하였다"고 밝히+ㄹ 만큼 두텁ㄴ 신뢰를 보이+ㄴ 김정남 울산감독의 기대에 부응하+ㄴ셈이다 .	O O O O O O O O O O O O O O O O PER-B ORG-B O O O
이 감독의무섭 ㄴ예언(?)은 그라운드에서 그대로 실현되기 시작하였다 .	PER-B O O O O O O O
패배의 쓰+ㄴ 맛을 보+ㄴ 수원은 더욱 분발하+여 나머지 경기에서 4승2무를 기록하면서 컵 대회 우승컵을 차지하였다 .	O O O O ORG-B O O O O O O O O O O O
'천재 골잡이' 박주영(20.서울)이 프로축구 K리그에서 49일 만에 '골 폭풍'을 몰아치면서 정규리그 득점왕을 향하+여 본격적이+ㄴ 골 사냥에 재시동을 걸었다 .	O O LOC-B O ORG-B O O O O O O O O O O O O O O
올 시즌 치르+ㄴ 17 경기 동안 3경기에서 2골 이상(해트트릭 포함)을 기록하+여골에 대하+ㄴ무섭ㄴ집중력도 보이어+주었다 .	O O O O O O O O O O O O O O
박주영은 이어 "서울이 플레이오프에 반드시 나가+ㄹ 수 있게 최선을 다하겠다는 생각뿐이다"고 덧붙이었다 .	PER-B O ORG-B O O O O O O O O O O
벨라판 총장은 "유럽에서 다른 아시아 선수들도 나름대로 족적을 남기었지만 박지성은 주목도에서 그 수준이 완전히 다르+ㄹ 것"이라며 "아시아 선수가 최고 수준에서 뛰+ㄹ 수 있고 박지성이 그 수준에 진입하었다는 것+이 기쁘다 .	PER-B O LOC-B O LOC-B O O O O PER-B O O O O O O LOC-B O O O O O O PER-B O O O O O O
부산은 6일 FC서울과의 전기리그 11차전에서 박주영에게 선제골을 내주+ㄴ 뒤뽀뽀가 극적이+ㄴ동점골을 터트리었지만 30초 뒤 또다시 박주영에게 결승골을 허용 하+여1-2 패배를 당하였다 .	ORG-B O ORG-B O O PER-B O O PER-B O O O O O PER-B O O O O O O
부산으로서 +ㄴ '무패 우승'의 절호의 기회를 놓치 +ㄴ만큼 지나 +ㄴ 2000년 부산 아이파크로 재창단 하+ㄴ 뒤 아직까지 한 번도 거머쥐+ㄴ 적 없는 K리그 우승 타이틀을 반드시 잡겠다는 각오+이다 .	ORG-B O O O O O O O O O O ORG-B O O O O O O O O O O ORG-B O O O O O O
음베키 남아공 대통령 격려 .	PER-B LOC-B O O O
크레스포, 결국 첼시로 유 .	PER-B O ORG-B O O
그러나 첼시는 이번이 적시장에서 사뮈엘에토오(바르셀로나), 안드리 셰브첸코(AC 밀란), 다비드 트레제게(유벤투스) 등 유명 스트라이커의 영입에 실패하면서 '크레스포를 잡자'는 쪽으로 방향을 정하+ㄴ 것으로 알려지었다 .	O ORG-B O O ORG-B PER-B ORG-B O PER-B ORG-B O O O O O PER-B O O O O O O O
이계호 실업축구연맹 회장은 6일 K2리그의 프로화로 인하+ㄴ각 구단의 부담을 줄이기 위 하+여이 같은 이색 제안을 내놓았다 .	PER-B O O O ORG-B O O O O O O O O O O O O
이 회장은 "각 지역 축구팬들에게 연고지역 선수들 펀드에 우선적으로 투자 하+ㄹ 수 있는 규정을 두어 연고지역 선수들에 대하+ㄴ 관심을 많이 갖도록 유도 하+ㄹ 것"이라고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O O PER-B O O O PER-B O O
영국 런던이 2012년 하계올림픽 개최지로 선정되+ㅁ에 따르 아40년 만에 영국 축구 단일팀이 올림픽에 출전하+ㄹ지 관심이 모으아지고 있다 .	LOC-B LOC-B O O O O O O O LOC-B O O O O O O O O
지나+ㄴ 6월 영국 일간지 가디언의 보도에 따르면 스코틀랜드는 정체성 훼손을 이유로 단일팀에 참가하지 않겠다는 입장을 보이었다 .	O O LOC-B O O O O ORG-B O O O O O O O O O
단일팀이 구성되면 그 실력이 브라질에 버금가게 되+어 축구종주국의 위용을 되찾을 수 있을 것이라는 것+이 전문가들의 평가+이다 .	O O O O ORG-B O O O O O O O O O O O O
10일 오후 7시 서울월드컵경기장에서 열리는 서울과 포항의 전기리그 최종 전이 결전의 무대 .	O O O LOC-B O ORG-B ORG-B O O O O O O
이동국의 활약을 앞세우어 6일 울산 현대를 잡은 포항은 현재 승점 21로 선두 부산 아이파크(승점 24)에 승점 3차이로 따라붙은 상태 .	PER-B O O O ORG-B O O ORG-B O O O O ORG-B O O O O O O O
FC서울, 보카주니어스와 친선경기 추 .	ORG-B ORG-B O O O
서울로 연고지를 옮기+ㄴ 뒤 홈팬들에게 이런 서비스를 하+ㄴ적이 없었다"고 추진 배경을 밝히었다 .	LOC-B O O O O O O O O O O O O
박지성은 이날 오후 네덜란드 암스테르담의 영국 대사관에서 취업비자를 발급받은 뒤 곧바로 맨체스터 행 비행기에 오르+ㄹ 예정이다 .	PER-B O O LOC-B LOC-B O O O O O O LOC-B O O O O O
영국과 네덜란드의 시차를 감안하면 박지성의 현 지 도착 시간은 오후 2시5분이 되+ㄴ다 .	LOC-B LOC-B O O PER-B O O O O O O O O
박지성(24.맨체스터 유나이티드)에잇어 이영표(28.PSV에 인트 호벤)도 잉글랜드 프리미어리그 명문 맨체스터 유나이티드로 이적 하+ㄹ 가능성이 있다고 네덜란드 신문이 보도 하+여 관심을 끌고 있다 .	ORG-B O ORG-B O O ORG-B O O ORG-B O O O O O LOC-B O O O O O O O
'박지성 경쟁자' 포춘, 6주 무릎 부 .	PER-B O PER-B O O O O
지나+ㄴ 1999년 8월 맨체스터 유나이티드에 입단 하+ㄴ포춘은 입단 초기 라이언 긱스와 경쟁하며 맹활약을 펼치었지만 최근 눈에 띄는 활약을 펼치지 못하고 있다 .	O O O ORG-B O O PER-B O O PER-B O O O O O O O O O O O O
그러나 산토스 측은 최근 "호비뉴와 오는 2008년까지 계약되+어 있다 .	O ORG-B O O PER-B O O O O O
네덜란드 축구 전문지 '풋발 인터내셔날'은 8일(한국시간)"최근 히딩크 감독과 호주 축구협회 관계자가 영국에서 회동을 +였다"며 "호주 축구협회는 이에 대하+여 긍정도 부정도 하지 않고 있어 더욱 의구심을 낳게 하고 있다"고 보도하였다 .	LOC-B O O O O LOC-B PER-B O ORG-B O O LOC-B O O ORG-B O O O O O O O O O O O O O O O
'스나이퍼' 설기현(울버햄프턴)이 군대식 짧은 머리 스타일로 팀 동료들의 눈길을 집중시키었다 .	O ORG-B O O O O O O O O O
울브즈(울버햄프턴의 애칭)에 돌아오았을 때 동료들이 놀리었지만 별로 의식하지는 않는다"고 말하였다 .	ORG-B O O O O O O O O O O
성사 여부가 확실하지 않았던 고려대 OB-PSV에 인트 호벤친선 경기가 막판까지 진통을 겪은 끝에 예정대로 열리+ㄹ 것으로 보이+ㄴ다 .	O O O O O O O O O O O O O O O O O O
피스컵 참가팀들이 개막 이틀 전 대회와 관계없는 경기를 치르기 위하+여서는 피스 컵 조직위의 허가가 있어야 하+ㄴ다 .	ORG-B O O O O O O O O O ORG-B O O O O O O
몇몇 국내 프로축구팀들도 제안을 받았지만 K리그 휴식기에 경기를 치르는 부담감으로 거절하+ㄴ 것으로 알려지었다 .	O O O O O ORG-B O O O O O O O O
현재 변수가 생기지 않는 한 친선 경기는 열리+ㄹ 것으로 보이지만 12일에 열리지 않는다면 이에 따르+ㄴ문제도 발생하+ㄹ 것으로 보이+ㄴ다 .	O O O O O O O O O O O O O O O O O O O
독일 축구협회가 10일(한국시간) 발표 하+ㄴ대진추첨 결과에 따르면 프랑크푸르트는 오는 8월 20일 또는 21일 오버하우젠과 대회 1라운드를 치르게 +었다 .	ORG-B O LOC-B O O O O ORG-B O O O O O ORG-B O O O O O
베니테스 리버풀 감독은 10일(이하 한국시간) "피구의 이적 여부를 기다리고 있다. 그가 우리 팀에 오+ㄹ 가능성이 어느 정도의 가능성이 있는 것은 사실"이라며 "현재 멤버에 만족하지만 앞으로 2~3명 정도를 더 영입하+ㄹ 예정"이라고 밝히었다 .	PER-B ORG-B O O LOC-B PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O
'축구 황제' 펠레가 '제2의 펠레' +이란 찬사를 듣고 있는 브라질 축구 유망주 호비뉴(21.산 토스)의 유럽행을 지지하고 나서 +었다 .	O PER-B PER-B PER-B PER-B O O O O ORG-B O O PER-B O LOC-B O O O O
한나라당 박근혜(朴槿惠) 대표는 10일 자신의 인터넷 미니 홈페이지 누적 접속자 수 300만명 돌파를 기념, 네티즌과 함께 자원봉사 활동을 하고 상암동 월드컵경기장에서 축구를 관람하는 등 다양하+ㄴ 행사를 가지었다 .	ORG-B PER-B O O O O O O O O O O O O O O O O O LOC-B O O O O O O O O
박 대표는 또 학대받는 어린이를 위하+ㄴ 서울 마포 소재의 사회시설이 +ㄴ`신나는 그룹홈'을 방문, 아이들을 위하+여 샌드위치를 만들어주고 함께 노래를 부르는 등 봉사활동을 벌이었다 .	PER-B O O O O O LOC-B LOC-B O O LOC-B O O O O O O O O O O O O O
박주영(20. FC서울)이 10일 서울 월드컵경기장에서 열리+ㄴ삼성 하우젠 K리그 2005포항스틸러스 전에서 두 경기 연속 골을 기록하였다 .	PER-B ORG-B O O O O O O O O O O O O O O
10일 부산의 우승이 확정되+ㄴ 부산 아시아드 주경기장에서는 바로 옆 사직구장에서 프로야구 롯데자이언츠의 전유물처럼 부르어 지+어오+ㄴ 응원가 '부산 갈매기'가 힘차게 흘러나 오았다 .	O ORG-B O O ORG-B O O O O LOC-B O ORG-B O O O O ORG-B O O O O O
사실 지나 +ㄴ 연말 FA 컵 우승 이후 컵 대회에서 무너지+ㄹ 때만 하+여도 포터필드 감독의 지도력을 의심하는 목소리가 불거지기도 +였다 .	O O O O O O O O O O O O O PER-B O O O O O O O
지나+ㄴ 5월 29일 부천 전에서 K-리그 최장거리골(65ｍ)을 뽑아내 +ㄴ도 화성을 비롯하+ 여임관식, 김재영, 이정효 등 미드필더진은 특유의 성실하고 안정되+ㄴ플레이로 중원을 사수하였고 이 장관, 김유진, 배효성, 박준홍으로 이어지는 포백라인은 12경기 10실점의 짠물 수비로 우승의 버팀목이 +었다 .	O O O O O O O O O O O PER-B PER-B PER-B O O O O PER-B O O PER-B O PER-B PER-B PER-B PER-B O O O O O O PER-B O O
부산은 10일 부산 아시아드 주경기장에서 열리+ㄴ 프로축구 삼성 하우젠 K-리그 2005전기 리그 최종 전에서 후반 16분 터지+ㄴ '흑상어' 박성배의 페널티킥 선제골로 후반 종료 5분 전 김종현이 한 골을 만회하 +ㄴ대전시티즌과 1-1로 비기+어 전기 리그 우승을 확정하였다 .	ORG-B O ORG-B O O O O O O O O O O O O O O PER-B PER-B O O O O O O O O O O ORG-B O O O O O O O
이날 스무번째 생일을 맞은 박주영은 이날 서울월드컵경기장에서 열리+ㄴ포항 전에서 전반 15분 선제골에잇어 후반 16분과 44분 연속 골로 해트트릭을 기록하며 팀의 4-1대승을 이끌었다 .	O O O O PER-B O LOC-B O O O O O O O O O O O O O O O O
울산 현대도 부천 SK와의 원정경기에서 두 골을 터트리+ㄴ 브라질 용병마차도의 활약에 힘입어 3-2로 승리하였다 .	ORG-B O ORG-B O O O O O ORG-B PER-B O O O O O
하지만 지난해 3월 창단 후 3번째 시즌을 맞이하 +ㄴ인천이 올 전기리그에서 보이어주+ㄴ 저력은 놀랍었다 .	O O O O O O O O ORG-B O O O O O O
여기에 창단 후 단 한 번도 패하지 않았던 전북 현대에 패하는 불운을 맞보기도 .	O O O O O O O O ORG-B O O O O O
스코틀랜드 출신 이+ㄴ 포터필드 감독은 지나 +ㄴ 88-93년 잉글랜드 명문 첼시 사령탑을 맡았고 이후 잠비아, 짐바브웨, 오만, 트리니다드토바고 등 아프리카.중동.북 중미 각국 대표팀 감독을 맡아 축구 수준을 한 단계 올려놓는 성과를 이루+어내 +었다 .	LOC-B O O PER-B O O O O LOC-B O ORG-B O O O ORG-B ORG-B ORG-B ORG-B O LOC-B O O O O O O O O O O O O O O
하지만 이제 K-리그 통합 우승과 아시아 챔피언스리그 정상까지 노려보겠다 .	O O O O O O O O O O
박주영은 10일 서울 월드컵경기장에서 열리+ㄴ삼성 하우젠 K-리그 포항스틸러스 전에서 프로축구역 대한경기 최다 이+ㄴ 4만8천375명의 관중이 지켜보는 가운데 해트트릭을 작성하며 팀의 4-1 승리를 이끌었다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O
▲ 경기전 전화통화를 +였는데 생일이+ㄴ데 8천호골 정도는 터트리+어야 하지 않겠느냐고 그러더라. 하지만 전혀 의식하지 않았다. 오늘 승리는 모두 가족과 여자친구 덕분이다 .	O O O O O O O O O O O O O O O O O O O O O O
안정환은 에이전트와 함께 지나+ㄴ 10일 오후 프랑스 파리로 극비 출국, 메스로 이동 하+여FC 메스구단 측과 세부적 이+ㄴ 입단 조건에 합의 하+ㄴ 것으로 밝혀지었다 .	PER-B O O O O O LOC-B LOC-B O O LOC-B O ORG-B LOC-B O O O O O O O O O O
유럽 스포츠 전문 사이트 유로스포츠도 "FC 메스가 페루 출신의 공격수 안드레스멘도사(27)의 입단을 추진하였으나 실패로 돌아가 +ㄴ 뒤 안정환을 영입 대상에 올려놓았다"고 전하였다 .	LOC-B O O O O ORG-B O LOC-B O O PER-B O O O O O O PER-B O O O O O
현재 퍼디낸드의 재계약 협상은 중단되+ㄴ 상황이다.구단은 이미 퍼디 낸드에 주급 10만 파운드(약 1억8천만원)를 베팅+하였다 .	O PER-B O O O O O O O O MNY-B O MNY-B O O
최근 유럽 축구 전문 사이트 골닷컴이 '안정환, 결정의 시간이 다가오았다'고 밝히는가 하면, 프랑스 지르피가로는 '파리 생제르맹이 안정환을 영입 대상에 올려놓았다'고 보도하는 등 유럽 언론들도 안정환의 유럽 재진출 임박설에 힘을 싣어 +주었다 .	O LOC-B O O O O PER-B O O O O O LOC-B O ORG-B O PER-B O O O O O LOC-B O PER-B LOC-B O O O O O O
결국 프랑스 쪽을 선호하였던 안정환은 전격적으로 FC 메스의 영입 제의를 받아들이며 지나+ㄴ 2001∼2002 시즌(이탈리아 페루자)에잇어 3년 만에 다시 유럽 무대에 서게 +었다 .	O LOC-B O O PER-B O ORG-B O O O O O O ORG-B O O O O LOC-B O O O O
FC메스는 비록 정규리그 우승은 차지하지 못하였지만 80년대 프랑스컵(84, 88년)과 리그컵(86년)을 여러 차례 제패하며 전성기를 구가하었다 .	ORG-B O O O O O O O O O O O O O O O
대한축구협회도 지나 +ㄴ 2002년부터 유망주 해외유학 프로젝트의 파트너로 FC 메스를 선정하+여강진욱(19), 어경준(18) 등을 위탁교육시키+ㄴ바 있다 .	ORG-B O O O O O O O ORG-B O PER-B PER-B O O O O
호주 축구협회가 거스 히딩크(58) PSV에 인트 호벤(네덜란드) 감독을 차기 대표팀 사령탑으로 영입하겠다는 의사를 공식적으로 표명 하+ㄴ 가운데 히딩크 감독도 수락 의사를 밝히+어귀 추가 주목되 +ㄴ다 .	ORG-B O PER-B PER-B ORG-B O LOC-B O O O O O O O O O O PER-B O O O O O O O O
히딩크 감독은 잇어"호주와 솔로몬제도의 최종 예선 전과 11월 남미 5위팀과의 플레이오프전은 'A매치 데이' +이어서에인트 호벤의 일정에 아무런 영향을 끼치지 않는다"며 "예선전을 앞두고도 호주 대표팀이 네덜란드로+아서 훈련하면 되+ㄴ다"고 설명하였다 .	PER-B O LOC-B ORG-B O O O O LOC-B O O O O O O O O O O O O O LOC-B O LOC-B O O O O
출전 선수 중 최고참선수이자 최고 학번이 +ㄴ 홍명보는 "경기 결과는 예상하기 어렵겠지만 후배들이 에인트 호벤 선수들 못하지 않게 훌륭하+ㄴ 선수들이라 좋은 경기를 펼치+ㄹ 수 있을 것이라 생각 하+ㄴ다"고 자신감을 내비치었다 .	O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O
한편 홍명보는 이번 친선경기가 문제가 있다는 외부 시선도 있다는 질문에 "고려대가 한국 축구에 이바지하+ㄴ바가 크다.에인트 호벤이 세계적으로 유명 하+ㄴ팀이지만 그런 팀과 경기를 하+ㄹ 수 있는 자격이 있다고 보+ㄴ다"고 말하였다 .	O PER-B O O O O O O O O ORG-B ORG-B O O O O O O O O O O O O O O O O O O
포터필드 감독은 부임 2년째 이+ㄴ 지나 +ㄴ 시즌 FA컵을 우승하기 전 정규리그에서 성적이 바닥권을 치자 일부 서포터스의 거세+ㄴ 퇴진 요구를 받았었다 .	PER-B O O O O O O O O O O O O O O O PER-B O O O O O
오는 31일 개막하는 2005 동아시아축구연맹 선수권대회에 출전하는 국가대표팀 선수 명단이 12일 확정되+ㄴ다 .	O O O O O O O O O O O O O
이에 따르 아본 프레레호는 국내파와 일본파를 중심으로 구성되 +어개막일주일전 이+ㄴ오는 24일 또는 25일부터 소집훈련을 시작하+ㄹ 예정이다 .	O O O O O O O O O O O O O O O O O
반면 별도의 조직이 없는 중국의 '치우미' 응원단은 국내 화교들을 위주로 응원전을 펼치+ㄹ 것으로 보이+ㄴ다는 것+이 축구협회 관계자의 설명이다 .	O O O O LOC-B ORG-B O O O O O O O O O ORG-B O O O
