'부천영화제 사무국'은 내달 3일 오후 3시30분∼5시30분 부천 중동신도시 중앙공원에서 'PiFan사랑 걷기대회'를 개최 하+ㄴ다 .	LOC-B ORG-I O O O O LOC-B LOC-B LOC-B O O O O O
얼마 전 미국의 딥임팩트 계획이 성공하면서 혜성에 대하+ㄴ 관심이 높아지었다. 얼음과 먼지 덩어리로 이루어 지+ㄴ 혜성은 태양을 중심으로 길+ㄴ타원이나 포물선에 가깝 ㄴ 쌍곡선으로 태양계를 돌는 천체를 말하+ㄴ다 .	O O LOC-B O O O O O O O O O O O O O O O O O O O O O O O O O
서울 종로구 낙원동 필름포럼(구 허리우드 극장)에서 열리는 올해 영화제의 주제는 '키즈리턴'(Kids Retu rn) .	LOC-B LOC-B LOC-B LOC-B LOC-B LOC-I O O O O O O O O
김태균, 모지은 감독 등 모두 10명의 감독들에 의하+여편당 10분 내외의 영화 100편이 만들어 지+ㄹ 예정이며 이 영화는 DMB를 비롯하+여공 중파와 케이블TV, VOD 등의 다양하+ㄴ 매체를 통하+여 상영되 +ㄹ 예정이다 .	PER-B PER-B O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O
서울중앙지법 민사합의18부(안승국 부장판사)는 20일 실미도 684부대 훈련병 12명의 유족들이 영화 `실미도'를 만들 +ㄴ강우석 감독과 제작사를 상대로 내+ㄴ 손해배상 청구소송에서 원고 패소 판결하였다 .	ORG-B ORG-I ORG-I O ORG-B ORG-I O O O O ORG-B O PER-B O O O O O O O O O O
국내 영화 팬들에게 `알렉산더'로 잘 알려지+ㄴ콜린 파렐(29)이 옛 여자친구와 찍었던 섹스 비디오의 유출을 막기 위 하+여곤욕을 치르고 있다 .	O O O O O PER-B PER-I O O O O O O O O O O O O
파렐 측은 이에 따르 아이번 일로 상당 하+ㄴ 피해를 +았으며 해당 비디오의 유통을 영원히 막아야 하는 동시에 본인에게 회수되어야 하+ㄴ다고 주장하고 있다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O
20일 업계에 따르면 GS홈쇼핑은 영화 배급사 `쇼박스'와 손잡고 영화 예매권을 판매 하+ㄴ다 .	O O O ORG-B O O ORG-B O O O O O O
현대홈쇼핑은 31일 저녁 7시 50분부터 50분 동안 `네 남자와 뽕빨나는 바캉스' 콘서트 티켓을 판매 하+ㄴ다 .	ORG-B O O O O O O O O O O O O O O O
지나+ㄴ 16일 타계 하+ㄴ 고종의 증손자이자 영친왕(英親王) 잇은(李垠.1897-1970) 외아들이 +ㄴ고(故)이 구씨의 전 부인 줄리아(82) 여사가 지나 +ㄴ 4월 내한 하+여 서울 강남의 모처에 머물고 있는 것으로 밝혀지었다 .	O O O O PER-B O PER-B PER-B O O O O O PER-B O O O O O O LOC-B LOC-B O O O O O O
이구씨는 무속인이+ㄴ 일본 여인과 동거하고 있었던 것으로 전하여 +지+었다 .	PER-B O LOC-B O O O O O O O
'그 대안의 블루', '네온 속으로 노을지다', '시월애' 등을 연출하였던 이현승 감독은 현재 영화진흥위원회 부위원장과 미쟝센 단편영화제 집행위원장으로도 활동하고 있다 .	O O O O O O O O O PER-B O O ORG-B O ORG-B ORG-B O O O O
TU 미디어는 "방학특집으로 '순정 만화'를 제작, 기존의 '무빙카툰'에서 업그레이드되 +ㄴ 애니메이션을 선보이기 위하+ㄴ 막바지 작업이 진행 중"이라고 말하였다 .	ORG-B ORG-I O O O O O O O O O O O O O O O O O
'사랑니'는 열일곱 살 남자와 사랑에 빠지+ㄴ 서른 살 여자(김정은)의 이야기를 그리 +ㄴ 영화로 '해피엔드'의 정지우 감독이 5년 만에 메가폰을 잡은 작품이다.지나 +ㄴ 3월 중순부터 4개월간 촬영되었던 이 영화는 후반 작업을 거치+ㄴ 뒤 가을 극장가에서 관객들을 만나 +ㄹ 예정이다 .	O O O O O O O O PER-B O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O
그는 "어렵 ㄴ환경에서도 매년 제작되는 영화수는 늘어나는 추세이지만 솔직히 질적이 +ㄴ면에서는 아직 낙후되 +ㄴ 것으로 나타나 +았다"면서 "캄보디아 영화산업의 발전 현황을 파악하고 질적 성장 계기를 마련하기 위하+여영화제를 열기로 +였다"고 설명하였다 .	O O O O O O O O O O O O O O O O O PER-B O O O O O O O O O O O O O
'왕후심청'의 홍보사 '영화인'은 21일 "'왕후심청'이 올해로 14회째를 맞는 오타와 애니메이션 페스티벌 본선에 후보작으로 오르았다"고 밝히었다 .	O O ORG-B O O O O O O O O O O O O O
쇼박스는 "이번 패키지의 가격 4만5천원은 보통 영화의 주말 관람료와 비교하면 43% 정도 할인을 받는 셈"이라고 설명하였다 .	ORG-B O O O MNY-B O O O O O MNY-B O O O O O O
폐막식에는 홍건표 부천시장과 황원희 시의회 의장 등 지역 인사와 폐막작 '종려나무숲'의 출연진 김민종. 김윤희 등 영화배우, 안병기 단편 부문 심사위원장, 제라르들 롬장편 분야 심사위원, 박철수 감독 등 국내외 영화인, 마니아와 시민 등 1천여명이 참석하+ㄴ 가운데 진행되었다 .	O PER-B O PER-B O O O O O O O O PER-B PER-B O O PER-B O O O PER-B PER-I O O PER-B O O O O O O O O O O O O
특히, 지난해 12월 말 영화제 이사회의 김홍준 전 집행위원장에 대하+ㄴ해촉으로 일부 영화인들이 참여를 거부하고 김 전 집행위원장을 비롯하+ㄴ 전임 영화제 스태프들이 같은 기간 서울서 '리얼'이란 이름을 붙이어 판타스틱 영화제를 개최 하+여 어렵ㄴ 여건이었으나, 정초신(영화감독) 수석 프로그래머와 스태프들의 헌신적 노력으로 국제영화제로서의 면모를 갖추었다는 평가를 받고 있다 .	O O O O O O PER-B O O O O O O O O O O O O O O O O LOC-B O O O O O O O O O PER-B O O O O O O O O O O O O
크라프치쉰은 작년 시민혁명에 참가하였던 사람들로부터 최근 3개월 동안 당시 정황과 활동들에 대하+ㄴ 수많은 편지들을 받았으며 일반 국민들을 직접 영화에 출연시키겠다고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O
장동건의 소속사 스타엠엔터테인먼트는 22일 "영화 '무극'과 '태풍'의 개봉을 앞두고 추후 일본을 비롯, 아시아 및 세계 시장에서 더욱 활발하+ㄴ 활동이 예상되는 장동건의 활동을 위하+여 일본 최대 엔터테인먼트 기업이+ㄴ아뮤즈를 파트너로 선택하였다"고 밝히었다 .	PER-B O ORG-B O O O O O O O LOC-B O LOC-B O O O O O O O PER-B O O LOC-B O O ORG-B O O O O
지나+ㄴ 14일 개막한 리얼판타스틱 영화제 2005가 23일 저녁 폐막식과 폐막 파티를 갖고 열흘간 영화축제의 막을 내리+ㄴ다 .	O LOC-B O O O O O O O O O O O O O O O
시(市)는 8∼9월 임진각 일대에서 열리는 세계평화축전 분위기 고취를 위하+여22일 임진각 관광안내소, 오두산 통일전망대, 제3땅굴, 시청사, 자유로휴게소 등 5곳에 DMZ 캐릭터 조형물을 설치하였다 .	LOC-B O LOC-B O O O O O O LOC-B LOC-I LOC-B LOC-I LOC-B LOC-B LOC-B O O O O O O O
서울YMCA어린이 영상문화연구회는 다음달 6일 강원도 춘천의 남이섬 '노래박물관'에서 '서울YMCA 어린이 영상 페스티벌'을 개최 하+ㄴ다 .	ORG-B ORG-I O O LOC-B LOC-B LOC-B LOC-B ORG-B ORG-I ORG-I O O O O
23일 독립영화 제작 ㆍ배급사인 디스토리에 따르면 두 작품은 올해 12회째를 맞는 이 영화제의 경쟁부문에 초청되었다 .	O O O O O O O O O O O O O O O O
특히 이 영화는 청주문화산업진흥재단이 입주하+여 있는 상당구 내덕동 연초제조창에 교도소 세트장을 만들어 촬영하는 등 전체 촬영 분량의 30%가량을 청주에서 제작하였다 .	O O O LOC-B O O LOC-B LOC-B LOC-I O O O O O O O O O LOC-B O O
신문은 "김 회장은 1990년류 더 화가 주연하+ㄴ '천장지구(天若有情)'를 가장 좋아하는 홍콩 영화로 꼽으며 '(한국영화와 비교하면) 홍콩 영화가 더 낫다고 생각하+ㄴ다. 한국영화는 정말 위험을 감수하려 하지 않는다'고 말하였다"고 전하였다 .	O PER-B O O O O O O O O LOC-B O O LOC-B O LOC-B O O O O LOC-B O O O O O O O O
한편, 단편 부문 관객상이+ㄴ 한국후지필름이 터나+뿐의 수상작으로는 한국영화 '핵분열 가족'(박수영, 박재영)이 선정되었다 .	O O O O LOC-B O O LOC-B O PER-B PER-B O O
배두나 주연 일본 영화 '린다…' 개 .	PER-B O LOC-B O O O O
남극에 살는 황제펭귄 .	LOC-B O O O
남극의 '황제펭귄'의 생태를 담아내 +ㄴ이 영화는 다음달 4일부터 관객들을 만나 +ㄴ다 .	LOC-B O O O O O O O O O O O
이금희 아나운서가 내레이션을, 성우 배한성과 송도순, 아역배우 박지빈 등이 한국어 목소리 더빙을 맡았다 .	PER-B O O O PER-B PER-B O PER-B O O O O O O
NHK가 2년마다 실시하고 있는 이 프로젝트에 그동안 한국영화로는 '박 하사탕'(감독이 창동)이 선정되+ㄴ바 있으며 이란의 거장 압바스키아로 스타미도 참여 하+ㄴ바 있다 .	ORG-B O O O O O O LOC-B O O O O O LOC-B O PER-B O O O O O
비디오점 체인 씨네타운(www. cinetown.co.kr)이 18-24일 비디오 대여횟수를 집계한 결과 '달콤 하+ㄴ 인생'은 출시 2주 만에 1위에 오르았다 .	O ORG-B ORG-I O O O O O O O O O O O O O O O
5.남극 일기(미스터리ㆍ임필성 .	O PER-B O
11.그루지(호러 ㆍ시 미즈다카시 .	O O O O
로버트 드니로 주연의 호러 영화 '숨바꼭질'이 비디오 인기 순위에서 첫 정상에 오르았다 .	PER-B PER-I O O O O O O O O O O O
4.호스티지(액션ㆍ플로렌에밀리오 시리 .	PER-B PER-I O
10.밀리언 달러 베이비(드라마ㆍ 클린트 이스트우드 .	O O O PER-B PER-I O
--북한과 공동제작을 하게 되+ㄴ이유는 .	LOC-B O O O O
--북한의 애니메이션 수준은 .	LOC-B O O O
예순을 넘은 나이에 귀고리를 하기 시작하고 나이트클럽에 드나들며 연하의 여인과 사랑을 나누는 등 `질풍노도의 삶'을 살고 있는 `인디애나 존스'의 스타해리슨 포드가 "인생은 60부터 "+이라며 변화의 이유를 밝히었다 .	O O O O O O O O O O O O O O O O O O O PER-B PER-I O O O O O O O
`중년의 위기'를 경험하고 있느냐는 질문에 해리슨 포드는 "많은 사람들이 그런 질문을 하+ㄹ 것"이라면서도 "나는 새롭ㄴ 삶을 살고 싶었다. 인생은 60부터 +이다"라고 답하였다 .	O O O O O PER-B PER-I O O O O O O O O O O O O O O O O
제4회 미쟝센 단편영화제의 수상작 15편이 15일간 인터넷에서 무료로 상영되 +ㄴ다 .	O O O O O O O O O O O
26일 국내 게임업체 게임하이(gamehi.net)에 따르면 저우 싱츠가 최근 무보수로 한국 온라인게임 데카론(dekaron. co.kr)의 중국 홍보대사 역할을 자청하고 나서 +었다 .	O O ORG-B ORG-B O O O O O LOC-B ORG-B O O LOC-B O O O O O O
할리우드 정상급 여배우 카메론 디아즈의 무명 시절 토플리스 사진을 미끼로 돈을 뜯어내려던 사진작가가 중형을 선고받게 +었다 .	O O O PER-B PER-I O O O O O O O O O O O O
디아즈는 이후 `마스크', `메리에게 +ㄴ 뭐+이+ㄴ가 특별 하+ㄴ 것+이 있다' 등이 흥행에 성공하면서 정상급 여배우로 떠오르았다 .	PER-B O O O O O O O O O O O O O O O O
이들은 결의문에서 "한국영화 제작가협회와 매니지먼트협회 준비위원회는 서로의 갈등과 불신을 해소하고, 한국영화 발전을 위하+ㄴ 구조적 이+ㄴ문제들을 함께 논의하며 극복 하+여가+ㄹ 것을 결의하였다"고 밝히었다 .	O O LOC-B ORG-I ORG-B ORG-I O O O O LOC-B O O O O O O O O O O O O
예매 관객은 3천원을 할인받을 수 있으며, 드라마와 영화 속 김선아의 직업이었던 현직 제빵사와 경찰은 신분증만 제시하면 공짜로 관람하+ㄹ 수 있다 .	O O MNY-B O O O O O O PER-B O O O O O O O O O O O
이 자리에는 김형준 제협회장 겸 한맥영화 대표, 오기민 마술피리 대표, 최용배 청어람 대표, 권영락씨네락 대표가 제협 대표로 참석하였고, 투자사 쪽에서는 쇼이스트, KM컬쳐, 유니코리아, 시네마 서비스, 튜브엔터테인먼트 등이 참석하였다 .	O O PER-B O O ORG-B O PER-B ORG-B O PER-B ORG-B O ORG-B O O O O O O ORG-B ORG-B ORG-B O O ORG-B O O O
'어린이날 개달다' +이라는 슬로건으로 다음달 19-24일 경기도 고양시의 덕양 어울림 누리, 롯데시네마 일산14, 일산 호수공원 주제광장에서 열리는 영화제의 개막작으로는 노르웨이 영화 '우유의 빛깔'(TheColorofMilk, 감독 토런리안) 이 상영되며 이밖의 작품들은 ▲메인프로그램(48편) ▲ 경쟁 부문(18편) ▲어린이가 만들 +ㄴ 영화(32편) ▲테마 프로그램(46편) 등 네 개 부문으로 나뉘어 선보이+ㄴ다 .	O O O O O O LOC-B LOC-B LOC-B LOC-I LOC-I LOC-B LOC-B LOC-B LOC-I LOC-I O O O LOC-B O O O O PER-B O O O O O O O O O O O O O O O O O O O O O
KBS, 애니'천하통일파이어비드맨' 27일부터 방 .	ORG-B O O O O
스텔스(Stealth) 전 폭기가 처음 유명 하+여지+ㄴ 것은 1991년이다. 당시 첫 출격 하+ㄴ스텔스기는 지휘부를 비롯하+ㄴ이라크군의 심장부를 공격 하+여승전의 토대를 마련하였다. '비밀'이라는 단어 자체의 뜻처럼 이 비행기의 장점은 적의 탐지시스템에 잡히지 않는 은폐 기술.정밀 하+ㄴ 유도폭탄을 장착하고 있는 것도 역시 빼+어놓을 수 없다 .	O O O O O O O O O O O O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O
외적이 +ㄴ 논란을 제치+어놓고 보면 영화는 미국이 '자랑'하는 이 최신형 비행기의 홍보와 이를 이용하+ㄴ온라인 컴퓨터 게임이상의 재미는 가지고 있지 않는 듯하다. 비행신과 추격신의 빠르+ㄴ 속도감이나 스릴로 이런 종류의 블록버스터 특유의 미덕들을 그대로 가지고 있다 .	O O O O O O LOC-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1972년 뮌헨올림픽을 배경으로 하+ㄴ 스티븐 스필버그 감독의 차기작 제목이 '뮌헨'으로 최종 확정되+었다 .	O O O O PER-B PER-I O O O O O O O
제2회 EBS국제다큐멘터리 페스티벌(EIDF 2005)의 경쟁부문이 +ㄴ 페스티벌 초이스의 후보작으로 일본 작품 '작은 새' 등 12편이 선정되었다 .	O O O O O O O O O LOC-B O O O O O O O
KBS2TV '토요명화'가 납량 특선으로 한국영화 4편을 30일부터 4주간 방송 하+ㄴ다 .	O O O O LOC-B O O O O O O
26일 독립영화 배급ㆍ 제작사인 디스토리에 따르면 이 영화는 영화제의 단편 경쟁 부문이 +ㄴ '코르토 코르티시모'(CortoCortissimo) 섹션에 초청받았다 .	O O O O O O O O O O O O O O O O O O
이 라이터는 후광이 비치는 '금자씨'이영애의 얼굴이 담기 +ㄴ영화티저 포스터를 라이터 표면에 정교히 옮기+ㄴ 것으로 각 제품마다 1에서 1천4번까지 고유번호가 새 기+어지+어 있다 .	PER-B PER-B PER-B O PER-B PER-B O O O PER-B O O O O O O O O O O O O O
남북공동제작에 남북 최초 동시 개봉이라는 기록을 만들어 내 +ㄴ 애니메이션 '왕후심청'이 다음달 12일과 15일 각각 남북한 극장에 걸리+ㄴ다.이 작품은 기획과 후반작업은 서울에서, 동화과정은 북한의 '조선4.26 아동영화 촬영소(SEK)'에서 이루어 지+었다.연출은 넬슨 신 감독이 맡았다 .	LOC-B LOC-B O O O O O O O O O O O O O LOC-B O O O O O LOC-B O LOC-B ORG-B ORG-I ORG-B O O PER-B PER-I O O O
SICAF 공로상에 조복동 ㆍ조봉남  .	O O PER-B PER-B O O
SICAF 애니메이션 어워드 시상식은 다음달 12일 오후 6시 코엑스 그랜드볼룸에서 열리는 SICAF 애니메이터의 밤에서 치르어 지+ㄹ 예정이다 .	O O O O O O O O LOC-B LOC-I O O O O O O O O
MBC 드라마 국장 출신 김승수 PD가 이 '배우 학교 한 별'의 교장으로 취임하+여이학교의 커리큘럼 및 교수진을 총지휘하고 있다 .	ORG-B O O O PER-B O O ORG-B ORG-I O O O O O O O O O O
김 PD는 "처음에 +ㄴ PD들이 운영하는 외주제작사에서 공동으로 시작하려 +였으나 소박하게 시작하기 위하+여남의 돈 빌리지 않고 어찌+ 되었든 이관희 프로덕션 힘으로만 경영하기로 +였다"며 웃었다 .	PER-B O O O O O O O O O O O O O O O O O PER-B O O O O O O
▲ 장애인 영화제 사무국은 10월 말 열리는 제6회 영화제의 사전제작 지원작과 캐릭터를 공모하+ㄴ다 .	O ORG-B ORG-I ORG-I O O O O O O O O O O
미야자와 리에 '토니타키타니' 9월 개 .	PER-B PER-I O O O O
아이돌 스타 출신이지만 누드 집 출판과 이후 이어 지+ㄴ스 모 선수 다카노 하나와의 파혼 등으로 한동안 슬럼프를 보내 +ㄴ바 있는 미야자와 리에는 2001년 '유원경몽(遊園驚夢)으로 모스크바 영화제 여우주연상을 수상하며 화려하게 재기에 성공하였으며 이후 '토니타키타니'를 비롯하+여 '황혼의 세이베이', '아버지와 살+ㄹ 수 있다면', '아수라성의 눈동자' 등에 출연하며 제2의 전성기를 누리고 있다 .	O O O O O O O O O O O PER-B PER-I O O O O O O O PER-B PER-I O O O O O O O O O O O O O O O O O O O O O O O O O O O
8회째 이+ㄴ올해 행사의 슬로건은 꿈꾸고도전하는 독립예술과 열정적 이+ㄴ 에너지를 보이어 주+ㄴ다는 취지에서 '몽유 열정가'로 정하여 +지+었다 .	O O O O O O O O O O O O O O O O O
'허비' +이라는 이름의 폴크스바겐 비틀 53이 주인공이 +ㄴ데, 이 차가 부릉부릉 힘차+ㄴ 출발을 하+ㄹ 준비가 +었다는 그런 뉘앙스 정도로 해석되 +ㄴ다 .	PER-B O O O O O O O O O O O O O O O O O O O O O
게다가 이 영화의 여주인공은 할리우드의 떠오르는 스타린제이로 한이다 .	O O O O O O PER-B O O
이후 전개 과정은 전형적 이+ㄴ 디즈니 가족영화의 패턴을 따르+ㄴ다 .	O O O O O ORG-B O O O O
다양하+ㄴ 장르의 실험적 이+ㄴ 애니메이션으로 천재로 불리는 캐나다 작가 노먼맥라렌(NormanM claren)의 작품이 6번째 독립 애니메이션 정기 상영 전에 걸리+ㄴ다 .	O O O O O O O LOC-B O PER-B O O O O O O O O O O
매일 오후 월-목요일 오후 7시30분에 한 차례 상영되며 관람료는 4천원이다 .	O O O O O O O O O MNY-B O
이밖에도 이 영화에는 케이트 블란쳇, 가엘가르시아 베르나르 등도 출연하+ㄹ 예정이다 .	O O O PER-B PER-I PER-B PER-I O O O O
8월 4일 오픈하는 부천의 롯데시네마 송내는 개관 전날 축하 이벤트로 8월 3일에 무료 시사회를 개최하는 등 다양하+ㄴ 행사를 펼치+ㄴ다 .	O O O LOC-B LOC-B LOC-I O O O O O O O O O O O O O O
주제나 장르의 제약이 없으며 월~금요일 밤 12시부터 60분간 방영하며 방영작에 대하+여서는 소정의 방송 채택료가 지급되+ㄴ다 .	O O O O O O O O O O O O O O O O
홍보대행사 '영화인'에 따르면 스티브 테슐러는 내한 기간에 무대인사를 통하+여 한국관객들과 만나는 등 다양하+ㄴ 홍보활동을 펼치+ㄹ 예정이다 .	O ORG-B O PER-B PER-I O O O O ORG-B O O O O O O O
스탠리 큐브릭 대표작 박스 세트 2 탄 출 .	PER-B PER-I O O O O O O O
개그듀오 컬투의 정찬우가 9월 1일 개봉하는 어린이 영화 '에밀과 탐정들'(수입ㆍ배급 레드박스 엔터테인먼트)의 한국어 더빙판에 목소리 연기를 하+ㄴ다 .	O ORG-B PER-B O O O O O O O ORG-B ORG-I O O O O O O
이상우, 김혜나 등 주연 배우들은 비가 내리는 가운데 화물 트럭을 타고 5.18묘지에 도착하는 장면 등을 촬영하였다 .	PER-B PER-B O O O O O O O O O LOC-B O O O O O
왕자웨이 차기작에 니콜 키드 먼 출 .	PER-B O PER-B O O O O
니콜 키드먼은 최근 미국에서 개봉하+ㄴ '비위치들'(Bewiched)를 비롯하+여 2003년 '도그빌'(Dogville) 이후 '인터프리터'(TheI nterpreter), '휴먼 스테인'(TheHumanSta in), '콜드 마운틴'(ColdMou ntain) 등 8편의 영화에 출연하며 왕성하+ㄴ 활동을 보이고 있으며 반면 왕자웨이는 지나 +ㄴ 1999년 처음 제작 계획이 발표되었던 '2046'을 지난해 칸 영화제에서 5년여 만에 선보이+ㄴ바 있다 .	PER-B PER-I O LOC-B O O O O O O O O O O O O O O O O O O O O O O O PER-B O O O O O O O O O O O O O O O O
톱스타 이영애는 자신이 주연하+ㄴ영화 '친절 하+ㄴ 금자씨'에 대하+여"오늘처럼 비 오는 날 더없이 좋은 영화이고 또 한번 보+아도 좋을 것"이라고 말하였다 .	O PER-B O O O O O O O O O O O O O O O O O O O
이 영화를 만들 +ㄴ 박찬욱 감독은 "시사회는 +였지만 배우와 함께 무대인사를 하는 것은 이번이 처음"이라며 "금자씨가 복역 하+ㄴ 여자 교도소 내부 장면을 연초 제조창에서 찍는 등 청주에서 많은 촬영을 +였다 .	O O O O PER-B O O O O O O O O O O PER-B O O O O O O LOC-B LOC-I O O LOC-B O O O O
이번 방한은 19일 개봉 예정이+ㄴ '어떤 나라'의 홍보를 위하+여서 +이다 .	O O O O O O O O O O O
박찬욱 -이영애 커플의 화제작'친절 하+ㄴ금자씨'(제작 모호필름)가 7월 마지막 주박스오피스 1위를 차지하며 한국영화의기를 당당히 살리었다. 올 개봉작 중 최고 오프닝 기록이 +ㄴ 동시에 역대 한국 영화 개봉 성적 3위의 기록이다 .	PER-B PER-B O O O ORG-B O O O O O LOC-B O O O O O O O O O O O LOC-B O O O O O O
한편 '마다가스카'와 '우주전쟁'은 31일까지 각각 전국 130만5천명, 315만명을 모으았다.또 '천군'과 '여고 괴담4: 목소리' 각각 전국 누계 124만 7천명, 50만명을 기록하였다 .	O O O O O O O O O O O O O O O O O O O O O
출품 기간은 8일부터 27일까지이며, 출품 신청서는 영화제 홈페이지(www.sidof.org/www. kifv. org)에서 내리+어받을 수 있다 .	O O O O O O O O O O O O O O
스티브 잡스를 일컫는 수식어들이다 .	PER-B PER-I O O O
광주 태평극장 추억 속으로.. .	LOC-B LOC-I O O O
또한 광주. 전남지역 초.중학생 단체 영화 관람 명소로 기억되고 있다 .	O LOC-B LOC-B O O O O O O O O
비디오점 체인 씨네타운(www. cinetown.co.kr)이 지난달 25-31일 비디오 대여횟수를 집계하+ㄴ 결과 '댄서의 순정'은 전주 3위에서 두 계단 뛰어 1위에 오르았다 .	O ORG-B ORG-I O O O O O O O O O O O O O O O O O
6.혈의 누(스릴러ㆍ 김대승 .	O O PER-B O
12.주먹이 울+ㄴ다(드라마 ㆍ류승완 .	O O PER-B O
비디오점 체인 씨네타운(www. cinetown.co.kr)이 지난달 25-31일 대여 횟수를 집계하+ㄴ 결과 지나+ㄴ 주출시되+ㄴ '댄서의 순정'이 1위를 차지하였다 .	O ORG-B ORG-I O O O O O O O O O O O O O O
▲ 슬프+ㄴ 공포영화+이라는 생각으로 만들었는데 관객들의 반응이 궁금하다. 영화 전체의 흐름에 아쉽 ㄴ 부분이 많다. 더 낫은 작품이 되도록 다시 손을 보+아야 하+ㄹ 것 같다.(원신연, 이하 감독 .	O O O O O O O O O O O O O O O O O O O O O O O O PER-B O O O
중견 배우 이순재가 18년 만에 스크린에 컴백하+ㄴ다 .	O O PER-B O O O O O
만년 영화감독 지망생이+ㄴ사위상훈으로는 김유석이, 무용학원을 운영하며 가족의 생계를 책임지는 딸 민경역에는 김호정이 각각 출연하+ㄴ다 .	O O PER-B PER-B O O O O O O PER-B PER-B O O O
이날 행사에는 박 감독이 감독의 입장에서 기획의도 등을 전하며 추첨을 통하+여 박 감독이 사인 하+ㄴ 포스터와 오리지널 사운드 트랙 등의 선물도 주+ㄹ 예정이다 .	O O PER-B O O O O O O O O PER-B O O O O O O O O O O O O
전국 기준으로 보면 7월 한국영화의 점유율은 상반기 평균 이+ㄴ 55.8%보다 23.7%포인트 낮은 수치로, 한국영화의 관객수는 전년 동기 대비 33%가 감소하+ㄴ 460만명(서울기준)이었다 .	O O O O LOC-B O O O O O O O O LOC-B O O O O O O LOC-B O
애니메이션 '왕후심청' 제작사 이+ㄴ 코아필름 서울은 지난달 25-29일 인터넷 영화 사이트에서 심청이와 가장 닮은 연예인에 관하+ㄴ 설문조사를 실시하+ㄴ 결과 응답자 3천64명 중 64.9% 이+ㄴ 1천991명이 문근영을 선택하였다고 밝히었다 .	PER-I PER-B O O ORG-B ORG-I O O O O O PER-B O O O O O O O O PER-B O O O O PER-B O O O
디지털 영화축제 서울 필름 페스티벌이 다음달 1-8일 서울 종로의 단성사에서 열리+ㄴ다 .	O O LOC-B O O O O LOC-B LOC-B LOC-B O O
이에 보아의 창법도 시원하게 내지르는 것+ㄹ택하였다 .	O PER-B O O O O O
한편 보아의 5집은 아이라이크 팝닷컴(iLikepop. com)을 통하+여20일 디지털 음반으로 발매되었다 .	O PER-B O O O O O O O O O
인기 여성그룹 쥬얼리의 멤버이지현(22)이 '가수 출신 연기자' 대열에 합류하였다 .	O O ORG-B PER-B O O O O O O
드라마 '남자가 사랑 하+ㄹ 때'를 통하+여주연 신고식을 +였던 박정아가 호되 +ㄴ평을 듣었기에 부담이 없다면 거짓 이+ㄹ 터 .	O O O O O O O O PER-B O O O O O O O O O
그리고 이지현을 보는 것+이 아니라 .	O PER-B O O O O
하우스댄스곡 '또 다른 시작'을 전면에 내세우+ㄴ이번 싱글 앨범에는 드라마 '원더풀라이프'와 '굳세어라 금순아' 등의 O.S.T에 참여하였던 가수 이윤종이 목소리를 빌리+어+주었다 .	O O O O O O O O O O O O O O O O PER-B O O O
버즈의 '가시'가 3주째 네티즌의 사랑을 가장 많이 받았다 .	ORG-B O O O O O O O O
최근 2집을 내고 활동 중 이+ㄴ 유미의 '추억은 시간이 지우+ㄴ다'는 18위로, 4인조 남성그룹 테이크의 '나비무덤'은 첫 주 19위로 상승세를 타고 있다 .	O O O O O O PER-B O O O O O O ORG-B O O O O O O O O
6.그녀에게 (U.N. .	ORG-I ORG-B O
12.사랑이+ㄴ걸(모세 .	PER-B O
18.추억은 시간이 지우+ㄴ다(유미 .	O O PER-B O
방실이는 지나 +ㄴ 17일 오후 KBS별관 인근에서 진행되+ㄴ KBS2TV 연예정보 프로그램 '연예가 중계'와의 인터뷰에서 "12년 전자고 있는 사이에 결혼 발표가 나+았고, 결혼식을 올리+ㄴ 후 남편과 단 하루도 같이 살+ㄴ 적이 없다"고 고백하였다 .	PER-B O O O O LOC-B O O LOC-B O O O O O O O O O O O O O O O O O O O O O O O O
방송은 18일 오후 8시 55분 .	O O O O O O
특히 각트는 음향 시스템을 제대로 갖추+어주+ㄹ 것을 요구하였다. 물론 이날 행사는 각 트의 콘서트가 아니었고, 이날 그는 엔딩 무대로 'LOVELETTER' 한 곡만을 부르기로 되+어 있었으나 아티스트로서 한국 팬들에게 완벽 하+ㄴ 무대를 보이어 주+ㄹ 수 없다는 프로의식을 강하게 보이어 +주었다 .	O PER-B O O O O O O O O O PER-B PER-I PER-I O O O O O O O O O O O O ORG-B O O O O O O O O O O O O O
한국 최고 여가수는 누구 이+ㄹ까? 논란의 여지는 있겠지만 성인가요 부문에서는 심수봉, 김수희, 하춘화, 정훈희 등을 첫손에 꼽아도크+ㄴ 무리는 없을 듯하다 .	ORG-B O O O O O O O O O PER-B PER-B PER-B PER-B O O O O O O O
